Step,Throttle Action,Steering Action,Top Throttle Factor 1,Top Throttle Factor 2,Top Throttle Factor 3,Top Steering Factor 1,Top Steering Factor 2,Top Steering Factor 3
0,-1.5272197723388672,2.241452217102051,Goal: cos(relative angle),Goal: sin(relative angle),Goal: Distance,Goal: sin(relative angle),Goal: cos(relative angle),Goal: Distance
1,-1.36951744556427,1.9600971937179565,Goal: Distance,Goal: cos(relative angle),LiDAR Ray 32 (0.0 deg),Goal: sin(relative angle),Goal: cos(relative angle),Ego: r (yaw rate)
2,-0.8971188068389893,0.9318214058876038,Goal: Distance,Goal: sin(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Ego: r (yaw rate),Goal: Distance
3,0.3751782774925232,-0.2893925607204437,Goal: Distance,Ego: r (yaw rate),Goal: sin(relative angle),Goal: sin(relative angle),Ego: r (yaw rate),Ego: v (sway velocity)
4,1.6865819692611694,-0.8873615264892578,Goal: Distance,Ego: r (yaw rate),Goal: cos(relative angle),Ego: r (yaw rate),Goal: sin(relative angle),Ego: v (sway velocity)
5,1.551576852798462,-0.13591699302196503,Ego: v (sway velocity),Ego: r (yaw rate),Goal: Distance,Goal: Distance,Ego: v (sway velocity),Goal: cos(relative angle)
6,1.6941472291946411,0.10770044475793839,Ego: v (sway velocity),Goal: Distance,Goal: cos(relative angle),Goal: Distance,Goal: sin(relative angle),Ego: u (surge velocity)
7,1.715355634689331,0.2991626560688019,Ego: v (sway velocity),Goal: Distance,Goal: cos(relative angle),Goal: Distance,Goal: sin(relative angle),Ego: u (surge velocity)
8,1.7275500297546387,0.31672367453575134,Ego: v (sway velocity),Goal: Distance,Goal: cos(relative angle),Goal: Distance,Ego: u (surge velocity),Goal: sin(relative angle)
9,1.7816575765609741,0.31049782037734985,Goal: Distance,Ego: v (sway velocity),Goal: cos(relative angle),Goal: Distance,Ego: u (surge velocity),Goal: sin(relative angle)
10,1.745620608329773,0.23845674097537994,Goal: Distance,Ego: v (sway velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: Distance,Goal: sin(relative angle)
11,1.7267087697982788,0.21953633427619934,Goal: Distance,Ego: v (sway velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: Distance,Goal: sin(relative angle)
12,1.6700443029403687,0.1297624409198761,Goal: Distance,Goal: cos(relative angle),Ego: v (sway velocity),Goal: Distance,Ego: u (surge velocity),Goal: sin(relative angle)
13,1.6015251874923706,0.08545965701341629,Goal: Distance,Goal: cos(relative angle),Goal: sin(relative angle),Goal: Distance,Goal: sin(relative angle),Ego: u (surge velocity)
14,1.5798193216323853,0.05694682523608208,Goal: Distance,Goal: cos(relative angle),Goal: sin(relative angle),Goal: Distance,Goal: sin(relative angle),Ego: u (surge velocity)
15,1.565506100654602,0.017408467829227448,Goal: Distance,Goal: cos(relative angle),Goal: sin(relative angle),Goal: sin(relative angle),Goal: Distance,Ego: u (surge velocity)
16,1.5527255535125732,0.019930806010961533,Goal: Distance,Goal: cos(relative angle),Goal: sin(relative angle),Goal: sin(relative angle),Goal: Distance,Ego: u (surge velocity)
17,1.536698341369629,0.000975082628428936,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance,Ego: u (surge velocity)
18,1.5238966941833496,-0.004739806056022644,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Goal: Distance,Goal: sin(relative angle),Ego: u (surge velocity)
19,1.5025464296340942,-0.004662557039409876,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance,Ego: u (surge velocity)
20,1.4821832180023193,-0.0012612482532858849,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance,Ego: u (surge velocity)
